OTU_ID	May_D_A	July_C_C	May_D_D	May_E_C	July_E_C	May_D_C	July_D_A	July_D_D	July_C_A	July_E_B	May_E_B	May_C_C	July_C_B	July_E_A	May_E_A	May_C_A	July_D_C	May_C_B	July_A_C	May_A_C	July_A_A	July_B_D	May_A_B	May_B_G	July_A_B	May_A_A	July_B_F	May_B_F	May_B_D	July_B_G
denovo290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	2	12	3	1	2	3	2	0	3	8	3
denovo1339	0	1	0	3	1	1	0	0	0	0	10	3	0	0	2	1	0	3	3	7	0	0	0	7	2	0	0	9	7	0
denovo1707	2	12	0	2	1	1	3	0	0	1	2	4	2	1	3	5	2	11	1	0	1	4	1	0	0	0	0	0	1	0
denovo1415	5	3	7	9	5	6	0	5	1	0	2	0	1	1	3	0	5	0	0	0	0	1	0	3	0	0	0	1	1	1
denovo390	2	0	7	1	4	3	2	1	1	4	11	1	1	4	8	0	1	1	0	0	0	1	0	2	0	0	1	2	2	0
denovo438	2	1	2	10	5	8	4	2	1	3	11	0	3	1	1	0	0	0	0	0	2	1	0	2	0	0	0	0	1	0
denovo1179	0	0	0	5	2	0	0	0	0	0	1	0	0	0	2	0	0	0	7	3	3	1	1	12	3	5	3	6	2	4
denovo353	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	7	0	0	2	11	7	30
denovo919	5	0	8	0	0	6	8	0	4	1	3	0	2	3	2	3	2	8	0	0	0	2	0	1	2	0	0	0	0	0
denovo1981	0	0	4	5	6	2	0	0	0	8	6	0	0	7	16	0	0	0	0	0	0	0	0	0	0	0	2	3	1	0
denovo165	0	0	0	3	3	0	0	0	0	2	1	0	0	0	1	0	0	0	3	4	5	5	0	5	1	1	4	12	6	3
denovo1857	4	0	0	11	2	2	14	1	0	4	11	0	0	5	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo391	1	1	4	3	0	1	3	1	0	0	1	1	0	0	1	1	0	0	3	2	1	4	0	5	6	2	2	3	3	10
denovo461	2	0	5	5	3	6	0	2	1	1	8	4	2	1	0	1	2	1	1	0	0	1	0	4	0	0	0	8	0	0
denovo202	3	2	2	1	0	2	2	0	0	0	2	6	3	0	1	3	0	10	3	5	5	0	4	0	0	0	2	0	0	2
denovo531	3	4	1	1	1	0	4	0	0	0	5	5	1	7	1	9	0	16	0	0	0	0	0	0	0	0	0	0	0	0
denovo1381	1	1	0	0	0	1	0	0	0	0	0	3	4	0	0	5	0	4	9	5	6	1	1	3	6	0	1	3	2	2
denovo448	3	0	5	1	2	6	4	0	1	2	1	8	2	0	4	7	0	5	1	0	1	1	1	1	0	0	0	1	1	0
denovo594	2	1	1	7	2	1	1	1	1	4	5	2	2	7	7	1	2	8	0	1	1	0	0	0	0	0	0	0	1	0
denovo513	2	0	2	4	9	0	1	2	0	2	14	0	1	3	8	0	0	2	3	2	0	1	0	0	0	0	0	1	0	1
denovo357	5	0	2	2	1	1	8	0	2	1	1	2	8	2	2	4	0	2	3	3	2	4	0	0	0	2	0	1	0	0
denovo382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	2	6	6	0	3	5	5	3	6	6	7
denovo328	1	3	1	0	0	2	2	0	0	0	0	11	3	4	5	3	0	7	4	3	4	0	2	0	0	0	0	0	3	0
denovo432	6	0	4	4	7	2	2	1	3	2	4	0	0	1	8	0	0	2	0	0	0	3	0	4	0	0	1	1	1	1
denovo631	3	0	10	1	1	7	4	0	0	1	1	2	0	0	2	1	0	0	6	0	6	0	2	7	1	2	0	0	0	0
denovo1074	1	0	1	6	7	0	1	2	0	7	15	0	0	6	10	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	3	19	0	0	0	11	7	0	0	0	0
